timestamp,rocket_x,rocket_y,rocket_z,rocket_vx,rocket_vy,rocket_vz,rocket_ax,rocket_ay,rocket_az,rocket_theta,rocket_phi,rocket_wy,rocket_psi,rocket_wx,rocket_wz,rocket_alphx,rocket_alphy,rocket_alphz,course_deviation,simSpeed,systemTime
5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55079.000000,
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003840,55163.000000,
15.000000,0.000000,0.000125,0.000000,0.000000,0.025000,0.000000,0.000012,5.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000125,0.384615,55176.000000,
20.000000,0.000000,0.000375,0.000000,0.000000,0.050000,0.000000,0.000012,5.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000375,0.555556,55186.000000,
25.000000,0.000000,0.000750,0.000000,0.000000,0.075000,0.000000,0.000012,5.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000003,0.000750,0.625000,55194.000000,
30.000000,0.000000,0.001250,0.000000,0.000001,0.100000,0.000000,0.000150,5.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000034,0.001250,0.555556,55204.000000,
35.000000,0.000000,0.001875,0.000000,0.000002,0.125000,0.000000,0.000150,5.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000034,0.001875,0.714286,55211.000000,
40.000000,0.000000,0.002625,0.000000,0.000003,0.150000,0.000000,0.000287,5.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000001,-0.000000,0.000000,0.000065,0.002625,0.714286,55219.000000,
45.000000,0.000000,0.003500,0.000000,0.000005,0.175000,0.000000,0.000287,5.000000,0.000006,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000001,0.000000,0.000065,0.003500,0.714286,55227.000000,
50.000000,0.000000,0.004500,0.000000,0.000006,0.200000,0.000000,0.000287,5.000000,0.000006,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000001,0.000000,0.000065,0.004500,0.714286,55234.000000,
55.000000,0.000000,0.005625,0.000000,0.000009,0.225000,0.000000,0.000594,5.000000,0.000006,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000002,-0.000001,-0.000000,0.000134,0.005625,0.833333,55241.000000,
60.000000,0.000000,0.006875,0.000000,0.000012,0.250000,0.000000,0.000594,5.000000,0.000011,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000003,-0.000003,0.000000,0.000134,0.006875,0.833333,55248.000000,
65.000000,0.000000,0.008250,0.000000,0.000015,0.275000,0.000000,0.000594,5.000000,0.000011,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000003,-0.000003,0.000000,0.000134,0.008250,0.500000,55258.000000,
70.000000,0.000000,0.009750,0.000000,0.000020,0.300000,0.000000,0.001002,5.000000,0.000011,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000005,-0.000003,-0.000000,0.000226,0.009750,0.833333,55264.000000,
75.000000,0.000000,0.011375,0.000000,0.000025,0.325000,0.000000,0.001002,5.000000,0.000024,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000006,-0.000005,0.000000,0.000226,0.011375,0.714286,55272.000000,
80.000000,0.000000,0.013125,0.000000,0.000032,0.350000,0.000001,0.001319,5.000000,0.000024,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000007,-0.000005,0.000000,0.000298,0.013125,1.000000,55278.000000,
85.000000,0.000000,0.015000,0.000000,0.000038,0.375000,0.000001,0.001319,5.000000,0.000040,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000009,-0.000009,0.000000,0.000298,0.015000,0.714286,55285.000000,
90.000000,0.000001,0.017000,0.000000,0.000047,0.400000,0.000001,0.001681,5.000000,0.000040,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000011,-0.000009,0.000000,0.000380,0.016999,0.833333,55292.000000,
95.000000,0.000001,0.019125,0.000000,0.000055,0.425000,0.000001,0.001681,5.000000,0.000054,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000012,-0.000012,0.000000,0.000380,0.019124,0.833333,55299.000000,
100.000000,0.000001,0.021375,0.000000,0.000065,0.450000,0.000001,0.002088,5.000000,0.000054,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000015,-0.000012,0.000000,0.000472,0.021374,0.714286,55306.000000,
105.000000,0.000001,0.023750,0.000000,0.000076,0.475000,0.000002,0.002088,5.000000,0.000069,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000017,-0.000016,0.000000,0.000472,0.023749,0.714286,55313.000000,
110.000000,0.000001,0.026250,0.000000,0.000089,0.500000,0.000002,0.002540,5.000000,0.000069,0.000000,-0.000000,0.000000,0.000001,-0.000000,0.000020,-0.000016,0.000000,0.000574,0.026249,0.555556,55323.000000,
115.000000,0.000002,0.028875,0.000000,0.000101,0.525000,0.000003,0.002540,5.000000,0.000087,0.000000,-0.000000,0.000000,0.000001,-0.000001,0.000023,-0.000020,0.000000,0.000574,0.028873,0.833333,55329.000000,
120.000000,0.000002,0.031625,0.000000,0.000116,0.550000,0.000003,0.003037,5.000000,0.000087,0.000000,-0.000000,0.000000,0.000001,-0.000001,0.000026,-0.000020,0.000000,0.000687,0.031623,0.714286,55337.000000,
125.000000,0.000002,0.034500,0.000000,0.000132,0.575000,0.000004,0.003036,5.000000,0.000107,0.000000,-0.000000,-0.000000,0.000001,-0.000001,0.000030,-0.000024,0.000000,0.000687,0.034498,0.714286,55344.000000,
130.000000,0.000003,0.037500,0.000000,0.000149,0.600000,0.000004,0.003579,5.000000,0.000107,0.000000,-0.000000,-0.000000,0.000001,-0.000001,0.000034,-0.000024,0.000000,0.000810,0.037497,0.555556,55354.000000,
135.000000,0.000003,0.040625,0.000000,0.000167,0.625000,0.000005,0.003578,5.000000,0.000107,0.000000,-0.000000,-0.000000,0.000001,-0.000001,0.000038,-0.000024,0.000000,0.000810,0.040622,0.714286,55361.000000,
140.000000,0.000004,0.043875,0.000000,0.000185,0.650000,0.000005,0.003577,5.000000,0.000138,0.000000,-0.000000,-0.000000,0.000002,-0.000001,0.000042,-0.000031,0.000000,0.000810,0.043871,0.416667,55374.000000,
145.000000,0.000004,0.047250,0.000000,0.000208,0.675000,0.000006,0.004492,5.000000,0.000138,0.000000,-0.000000,0.000000,0.000002,-0.000001,0.000047,-0.000031,0.000000,0.001016,0.047246,0.714286,55381.000000,
150.000000,0.000005,0.050750,0.000000,0.000230,0.700000,0.000007,0.004491,5.000000,0.000157,0.000000,-0.000000,0.000000,0.000002,-0.000002,0.000052,-0.000035,0.000000,0.001017,0.050745,0.555556,55391.000000,
155.000000,0.000006,0.054375,0.000000,0.000256,0.725000,0.000008,0.005146,5.000000,0.000157,0.000000,-0.000000,0.000000,0.000002,-0.000002,0.000058,-0.000035,0.000000,0.001165,0.054369,0.555556,55400.000000,
160.000000,0.000006,0.058125,0.000000,0.000282,0.750000,0.000009,0.005145,5.000000,0.000198,0.000000,-0.000000,0.000000,0.000003,-0.000002,0.000064,-0.000045,0.000000,0.001165,0.058119,0.625000,55408.000000,
165.000000,0.000007,0.062000,0.000000,0.000311,0.775000,0.000010,0.005844,4.999999,0.000198,0.000000,-0.000000,0.000000,0.000003,-0.000002,0.000070,-0.000045,0.000000,0.001323,0.061993,0.555556,55418.000000,
170.000000,0.000008,0.066000,0.000000,0.000340,0.800000,0.000011,0.005843,4.999999,0.000230,0.000000,-0.000000,0.000000,0.000003,-0.000002,0.000077,-0.000052,0.000000,0.001323,0.065992,0.833333,55425.000000,
