timestamp,setPoint,xAngVel,simSpeed,thrustPitch,xAngle,systemTime
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67875.000000,
1.000000,-0.349066,0.000000,0.020408,-0.021155,0.000000,67894.000000,
2.000000,-0.349066,0.000000,0.500000,-0.021155,0.000000,67897.000000,
3.000000,-0.349066,-0.000071,0.500000,-0.021155,-0.000000,67899.000000,
4.000000,-0.349066,-0.000142,0.500000,-0.021155,-0.000000,67902.000000,
5.000000,-0.349066,-0.000214,0.500000,-0.021155,-0.000000,67904.000000,
6.000000,-0.349066,-0.000285,0.250000,-0.021155,-0.000001,67908.000000,
7.000000,-0.349066,-0.000356,0.500000,-0.021155,-0.000001,67911.000000,
8.000000,-0.349066,-0.000427,0.500000,-0.021155,-0.000001,67913.000000,
9.000000,-0.349066,-0.000498,0.500000,-0.021155,-0.000002,67916.000000,
10.000000,-0.349066,-0.000569,0.500000,-0.021155,-0.000003,67918.000000,
11.000000,-0.349066,-0.000641,0.500000,-0.030678,-0.000003,67921.000000,
12.000000,-0.349066,-0.000712,0.250000,-0.030678,-0.000004,67925.000000,
13.000000,-0.349066,-0.000815,0.500000,-0.030678,-0.000005,67927.000000,
14.000000,-0.349066,-0.000918,0.500000,-0.030678,-0.000006,67930.000000,
15.000000,-0.349066,-0.001022,0.500000,-0.030678,-0.000007,67933.000000,
16.000000,-0.349066,-0.001125,0.333333,-0.030678,-0.000008,67937.000000,
17.000000,-0.349066,-0.001228,0.250000,-0.030678,-0.000009,67941.000000,
18.000000,-0.349066,-0.001331,0.333333,-0.030678,-0.000010,67945.000000,
19.000000,-0.349066,-0.001435,0.333333,-0.030678,-0.000012,67948.000000,
20.000000,-0.349066,-0.001538,0.500000,-0.030678,-0.000013,67951.000000,
21.000000,-0.349066,-0.001641,0.250000,-0.040122,-0.000015,67955.000000,
22.000000,-0.349066,-0.001744,0.200000,-0.040122,-0.000017,67960.000000,
23.000000,-0.349066,-0.001879,0.500000,-0.040122,-0.000019,67963.000000,
24.000000,-0.349066,-0.002014,0.500000,-0.040122,-0.000021,67966.000000,
25.000000,-0.349066,-0.002150,0.500000,-0.040122,-0.000023,67968.000000,
26.000000,-0.349066,-0.002285,0.500000,-0.040122,-0.000025,67971.000000,
27.000000,-0.349066,-0.002420,0.250000,-0.040122,-0.000027,67976.000000,
28.000000,-0.349066,-0.002555,0.500000,-0.040122,-0.000030,67979.000000,
29.000000,-0.349066,-0.002690,0.500000,-0.040122,-0.000033,67982.000000,
30.000000,-0.349066,-0.002825,0.333333,-0.040122,-0.000036,67985.000000,
31.000000,-0.349066,-0.002960,0.200000,-0.049532,-0.000038,67990.000000,
32.000000,-0.349066,-0.003095,0.333333,-0.049532,-0.000042,67993.000000,
33.000000,-0.349066,-0.003262,0.333333,-0.049532,-0.000045,67996.000000,
34.000000,-0.349066,-0.003429,0.500000,-0.049532,-0.000048,67999.000000,
35.000000,-0.349066,-0.003595,0.333333,-0.049532,-0.000052,68002.000000,
36.000000,-0.349066,-0.003762,0.333333,-0.049532,-0.000056,68005.000000,
37.000000,-0.349066,-0.003929,0.250000,-0.049532,-0.000060,68010.000000,
38.000000,-0.349066,-0.004096,0.333333,-0.049532,-0.000064,68013.000000,
39.000000,-0.349066,-0.004263,0.500000,-0.049532,-0.000068,68016.000000,
40.000000,-0.349066,-0.004429,0.333333,-0.049532,-0.000072,68020.000000,
41.000000,-0.349066,-0.004596,0.250000,-0.058879,-0.000077,68024.000000,
42.000000,-0.349066,-0.004763,0.500000,-0.058879,-0.000082,68027.000000,
43.000000,-0.349066,-0.004961,0.500000,-0.058879,-0.000087,68029.000000,
44.000000,-0.349066,-0.005160,0.500000,-0.058879,-0.000092,68032.000000,
45.000000,-0.349066,-0.005358,0.500000,-0.058879,-0.000097,68034.000000,
46.000000,-0.349066,-0.005556,0.500000,-0.058879,-0.000103,68037.000000,
47.000000,-0.349066,-0.005755,0.250000,-0.058879,-0.000108,68042.000000,
48.000000,-0.349066,-0.005953,0.500000,-0.058879,-0.000114,68045.000000,
49.000000,-0.349066,-0.006151,0.500000,-0.058879,-0.000121,68047.000000,
50.000000,-0.349066,-0.006350,0.500000,-0.058879,-0.000127,68049.000000,
51.000000,-0.349066,-0.006548,0.500000,-0.068155,-0.000133,68052.000000,
52.000000,-0.349066,-0.006746,0.500000,-0.068155,-0.000140,68054.000000,
53.000000,-0.349066,-0.006976,0.333333,-0.068155,-0.000147,68058.000000,
54.000000,-0.349066,-0.007206,0.500000,-0.068155,-0.000154,68060.000000,
55.000000,-0.349066,-0.007435,0.500000,-0.068155,-0.000162,68062.000000,
56.000000,-0.349066,-0.007665,0.333333,-0.068155,-0.000170,68065.000000,
57.000000,-0.349066,-0.007895,0.500000,-0.068155,-0.000177,68068.000000,
58.000000,-0.349066,-0.008124,0.500000,-0.068155,-0.000186,68070.000000,
59.000000,-0.349066,-0.008354,0.333333,-0.068155,-0.000194,68073.000000,
60.000000,-0.349066,-0.008584,0.333333,-0.068155,-0.000202,68076.000000,
61.000000,-0.349066,-0.008813,0.500000,-0.077350,-0.000211,68079.000000,
62.000000,-0.349066,-0.009043,0.500000,-0.077350,-0.000220,68081.000000,
63.000000,-0.349066,-0.009304,0.500000,-0.077350,-0.000230,68084.000000,
64.000000,-0.349066,-0.009565,0.500000,-0.077350,-0.000239,68086.000000,
65.000000,-0.349066,-0.009825,0.500000,-0.077350,-0.000249,68088.000000,
66.000000,-0.349066,-0.010086,0.333333,-0.077350,-0.000259,68092.000000,
67.000000,-0.349066,-0.010347,0.500000,-0.077350,-0.000269,68094.000000,
68.000000,-0.349066,-0.010608,0.500000,-0.077350,-0.000280,68097.000000,
69.000000,-0.349066,-0.010868,0.500000,-0.077350,-0.000291,68099.000000,
70.000000,-0.349066,-0.011129,0.500000,-0.077350,-0.000302,68102.000000,
71.000000,-0.349066,-0.011390,0.500000,-0.086457,-0.000313,68104.000000,
72.000000,-0.349066,-0.011651,0.333333,-0.086457,-0.000325,68108.000000,
73.000000,-0.349066,-0.011942,0.500000,-0.086457,-0.000337,68111.000000,
74.000000,-0.349066,-0.012234,0.500000,-0.086457,-0.000349,68113.000000,
75.000000,-0.349066,-0.012526,0.500000,-0.086457,-0.000362,68115.000000,
76.000000,-0.349066,-0.012817,0.500000,-0.086457,-0.000375,68118.000000,
77.000000,-0.349066,-0.013109,0.500000,-0.086457,-0.000388,68120.000000,
78.000000,-0.349066,-0.013400,0.333333,-0.086457,-0.000401,68124.000000,
79.000000,-0.349066,-0.013692,0.333333,-0.086457,-0.000415,68127.000000,
80.000000,-0.349066,-0.013984,0.500000,-0.086457,-0.000429,68129.000000,
81.000000,-0.349066,-0.014275,0.500000,-0.095466,-0.000443,68131.000000,
82.000000,-0.349066,-0.014567,0.500000,-0.095466,-0.000458,68134.000000,
83.000000,-0.349066,-0.014889,0.500000,-0.095466,-0.000473,68136.000000,
84.000000,-0.349066,-0.015211,0.500000,-0.095466,-0.000488,68138.000000,
85.000000,-0.349066,-0.015533,0.250000,-0.095466,-0.000503,68143.000000,
86.000000,-0.349066,-0.015856,0.500000,-0.095466,-0.000519,68145.000000,
87.000000,-0.349066,-0.016178,0.500000,-0.095466,-0.000535,68148.000000,
88.000000,-0.349066,-0.016500,0.500000,-0.095466,-0.000552,68150.000000,
89.000000,-0.349066,-0.016822,0.500000,-0.095466,-0.000569,68152.000000,
90.000000,-0.349066,-0.017144,0.500000,-0.095466,-0.000586,68154.000000,
91.000000,-0.349066,-0.017467,0.250000,-0.104371,-0.000603,68159.000000,
92.000000,-0.349066,-0.017789,0.500000,-0.104371,-0.000621,68161.000000,
93.000000,-0.349066,-0.018141,0.500000,-0.104371,-0.000639,68163.000000,
94.000000,-0.349066,-0.018494,0.500000,-0.104371,-0.000658,68165.000000,
95.000000,-0.349066,-0.018846,0.500000,-0.104371,-0.000677,68168.000000,
96.000000,-0.349066,-0.019198,0.500000,-0.104371,-0.000696,68170.000000,
97.000000,-0.349066,-0.019551,0.333333,-0.104371,-0.000715,68174.000000,
98.000000,-0.349066,-0.019903,0.500000,-0.104371,-0.000735,68176.000000,
99.000000,-0.349066,-0.020256,0.500000,-0.104371,-0.000755,68179.000000,
100.000000,-0.349066,-0.020608,0.500000,-0.104371,-0.000776,68181.000000,
101.000000,-0.349066,-0.020961,0.500000,-0.113162,-0.000797,68184.000000,
102.000000,-0.349066,-0.021313,0.500000,-0.113162,-0.000818,68186.000000,
103.000000,-0.349066,-0.021695,0.333333,-0.113162,-0.000840,68190.000000,
104.000000,-0.349066,-0.022078,0.500000,-0.113162,-0.000862,68193.000000,
105.000000,-0.349066,-0.022460,0.500000,-0.113162,-0.000885,68195.000000,
106.000000,-0.349066,-0.022843,0.500000,-0.113162,-0.000907,68197.000000,
107.000000,-0.349066,-0.023225,0.500000,-0.113162,-0.000931,68199.000000,
108.000000,-0.349066,-0.023607,0.500000,-0.113162,-0.000954,68202.000000,
109.000000,-0.349066,-0.023990,0.333333,-0.113162,-0.000978,68205.000000,
110.000000,-0.349066,-0.024372,0.200000,-0.113162,-0.001003,68211.000000,
111.000000,-0.349066,-0.024754,0.333333,-0.121832,-0.001027,68215.000000,
112.000000,-0.349066,-0.025137,0.500000,-0.121832,-0.001052,68217.000000,
113.000000,-0.349066,-0.025549,0.500000,-0.121832,-0.001078,68220.000000,
114.000000,-0.349066,-0.025961,0.333333,-0.121832,-0.001104,68223.000000,
115.000000,-0.349066,-0.026373,0.500000,-0.121832,-0.001130,68226.000000,
116.000000,-0.349066,-0.026784,0.500000,-0.121832,-0.001157,68229.000000,
117.000000,-0.349066,-0.027196,0.500000,-0.121832,-0.001184,68231.000000,
118.000000,-0.349066,-0.027608,0.500000,-0.121832,-0.001212,68233.000000,
119.000000,-0.349066,-0.028020,0.500000,-0.121832,-0.001240,68236.000000,
120.000000,-0.349066,-0.028432,0.333333,-0.121832,-0.001268,68240.000000,
121.000000,-0.349066,-0.028844,0.500000,-0.130372,-0.001297,68243.000000,
122.000000,-0.349066,-0.029256,0.500000,-0.130372,-0.001327,68245.000000,
123.000000,-0.349066,-0.029697,0.500000,-0.130372,-0.001356,68247.000000,
124.000000,-0.349066,-0.030138,0.500000,-0.130372,-0.001386,68250.000000,
125.000000,-0.349066,-0.030579,0.500000,-0.130372,-0.001417,68252.000000,
126.000000,-0.349066,-0.031021,0.500000,-0.130372,-0.001448,68255.000000,
127.000000,-0.349066,-0.031462,0.333333,-0.130372,-0.001479,68259.000000,
128.000000,-0.349066,-0.031903,0.500000,-0.130372,-0.001511,68261.000000,
129.000000,-0.349066,-0.032344,0.500000,-0.130372,-0.001544,68263.000000,
130.000000,-0.349066,-0.032785,0.500000,-0.130372,-0.001576,68266.000000,
131.000000,-0.349066,-0.033226,0.500000,-0.130372,-0.001610,68268.000000,
132.000000,-0.349066,-0.033667,0.500000,-0.139603,-0.001643,68271.000000,
133.000000,-0.349066,-0.034108,0.333333,-0.139603,-0.001677,68274.000000,
134.000000,-0.349066,-0.034581,0.500000,-0.139603,-0.001712,68277.000000,
135.000000,-0.349066,-0.035054,0.500000,-0.139603,-0.001747,68279.000000,
136.000000,-0.349066,-0.035527,0.500000,-0.139603,-0.001783,68282.000000,
137.000000,-0.349066,-0.035999,0.500000,-0.139603,-0.001819,68284.000000,
138.000000,-0.349066,-0.036472,0.500000,-0.139603,-0.001855,68287.000000,
139.000000,-0.349066,-0.036945,0.333333,-0.139603,-0.001892,68290.000000,
140.000000,-0.349066,-0.037417,0.500000,-0.139603,-0.001929,68293.000000,
141.000000,-0.349066,-0.037890,0.500000,-0.139603,-0.001967,68295.000000,
142.000000,-0.349066,-0.038363,0.500000,-0.147847,-0.002006,68298.000000,
143.000000,-0.349066,-0.038836,0.500000,-0.147847,-0.002045,68300.000000,
144.000000,-0.349066,-0.039337,0.500000,-0.147847,-0.002084,68302.000000,
145.000000,-0.349066,-0.039838,0.500000,-0.147847,-0.002124,68305.000000,
146.000000,-0.349066,-0.040339,0.250000,-0.147847,-0.002164,68309.000000,
147.000000,-0.349066,-0.040840,0.500000,-0.147847,-0.002205,68312.000000,
148.000000,-0.349066,-0.041341,0.333333,-0.147847,-0.002246,68315.000000,
149.000000,-0.349066,-0.041842,0.500000,-0.147847,-0.002288,68317.000000,
150.000000,-0.349066,-0.042343,0.500000,-0.147847,-0.002330,68320.000000,
151.000000,-0.349066,-0.042844,0.500000,-0.147847,-0.002373,68322.000000,
152.000000,-0.349066,-0.043345,0.333333,-0.155939,-0.002417,68326.000000,
153.000000,-0.349066,-0.043846,0.500000,-0.155939,-0.002460,68328.000000,
154.000000,-0.349066,-0.044375,0.500000,-0.155939,-0.002505,68331.000000,
155.000000,-0.349066,-0.044904,0.500000,-0.155939,-0.002550,68333.000000,
156.000000,-0.349066,-0.045432,0.500000,-0.155939,-0.002595,68335.000000,
157.000000,-0.349066,-0.045961,0.500000,-0.155939,-0.002641,68338.000000,
158.000000,-0.349066,-0.046490,0.250000,-0.155939,-0.002688,68342.000000,
159.000000,-0.349066,-0.047019,0.333333,-0.155939,-0.002735,68346.000000,
160.000000,-0.349066,-0.047548,0.500000,-0.155939,-0.002782,68348.000000,
161.000000,-0.349066,-0.048077,0.500000,-0.155939,-0.002830,68351.000000,
