timestamp,rocket_x,rocket_y,rocket_z,rocket_vx,rocket_vy,rocket_vz,rocket_ax,rocket_ay,rocket_az,rocket_theta,rocket_phi,rocket_wy,rocket_psi,rocket_wx,rocket_wz,rocket_alphx,rocket_alphy,rocket_alphz,course_deviation,simSpeed,systemTime
5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51979.000000,
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004049,52052.000000,
15.000000,0.000000,0.000125,0.000000,0.000000,0.025000,0.000000,0.000014,5.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000125,0.555556,52061.000000,
20.000000,0.000000,0.000375,0.000000,0.000000,0.050000,0.000000,0.000014,5.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000375,0.714286,52069.000000,
25.000000,0.000000,0.000750,0.000000,0.000000,0.075000,0.000000,0.000014,5.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000003,0.000750,0.833333,52075.000000,
30.000000,0.000000,0.001250,0.000000,0.000001,0.100000,0.000000,0.000169,5.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000042,0.001250,0.238095,52097.000000,
35.000000,0.000000,0.001875,0.000000,0.000002,0.125000,0.000000,0.000169,5.000000,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000042,0.001875,0.625000,52105.000000,
40.000000,0.000000,0.002625,0.000000,0.000004,0.150000,0.000000,0.000323,5.000000,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000000,0.000000,0.000079,0.002625,0.714286,52113.000000,
45.000000,0.000000,0.003500,0.000000,0.000005,0.175000,0.000000,0.000323,5.000000,0.000008,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000001,-0.000002,0.000000,0.000079,0.003500,0.714286,52121.000000,
50.000000,0.000000,0.004500,0.000000,0.000007,0.200000,0.000000,0.000323,5.000000,0.000008,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000002,-0.000002,0.000000,0.000079,0.004500,0.833333,52127.000000,
55.000000,0.000000,0.005625,0.000000,0.000010,0.225000,0.000000,0.000669,5.000000,0.000008,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000002,-0.000002,-0.000000,0.000164,0.005625,0.625000,52136.000000,
60.000000,0.000000,0.006875,0.000000,0.000013,0.250000,0.000000,0.000669,5.000000,0.000016,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000003,-0.000004,0.000000,0.000164,0.006875,0.833333,52143.000000,
65.000000,0.000000,0.008250,0.000000,0.000017,0.275000,0.000000,0.000669,5.000000,0.000016,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000004,-0.000004,0.000000,0.000164,0.008250,0.333333,52158.000000,
70.000000,0.000000,0.009750,0.000000,0.000022,0.300000,0.000000,0.001128,5.000000,0.000016,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000006,-0.000004,-0.000000,0.000277,0.009750,0.714286,52166.000000,
75.000000,0.000000,0.011375,0.000000,0.000028,0.325000,0.000001,0.001128,5.000000,0.000033,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000007,-0.000008,0.000000,0.000277,0.011375,0.833333,52172.000000,
80.000000,0.000000,0.013125,0.000000,0.000035,0.350000,0.000001,0.001485,5.000000,0.000033,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000009,-0.000008,0.000000,0.000364,0.013125,0.833333,52179.000000,
85.000000,0.000000,0.015000,0.000000,0.000043,0.375000,0.000001,0.001484,5.000000,0.000056,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000011,-0.000014,0.000000,0.000364,0.015000,0.714286,52186.000000,
90.000000,0.000000,0.017000,0.000000,0.000052,0.400000,0.000001,0.001892,5.000000,0.000056,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000013,-0.000014,0.000000,0.000465,0.017000,0.714286,52194.000000,
95.000000,0.000000,0.019125,0.000000,0.000062,0.425000,0.000002,0.001892,5.000000,0.000074,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000015,-0.000018,0.000000,0.000465,0.019125,0.625000,52202.000000,
100.000000,0.000000,0.021375,0.000000,0.000074,0.450000,0.000002,0.002351,5.000000,0.000074,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000018,-0.000018,0.000000,0.000577,0.021375,0.833333,52209.000000,
105.000000,0.000001,0.023750,0.000000,0.000085,0.475000,0.000002,0.002351,5.000000,0.000095,0.000000,-0.000000,-0.000000,0.000001,-0.000001,0.000021,-0.000023,0.000000,0.000577,0.023749,0.625000,52217.000000,
110.000000,0.000001,0.026250,0.000000,0.000100,0.500000,0.000003,0.002860,5.000000,0.000095,0.000000,-0.000000,-0.000000,0.000001,-0.000001,0.000024,-0.000023,0.000000,0.000702,0.026249,0.833333,52223.000000,
115.000000,0.000001,0.028875,0.000000,0.000114,0.525000,0.000004,0.002860,5.000000,0.000119,0.000000,-0.000000,0.000000,0.000001,-0.000001,0.000028,-0.000029,0.000000,0.000702,0.028874,0.625000,52231.000000,
120.000000,0.000001,0.031625,0.000000,0.000131,0.550000,0.000004,0.003420,5.000000,0.000119,0.000000,-0.000000,0.000000,0.000001,-0.000001,0.000032,-0.000029,0.000000,0.000840,0.031624,0.714286,52239.000000,
125.000000,0.000001,0.034500,0.000000,0.000148,0.575000,0.000005,0.003419,5.000000,0.000147,0.000000,-0.000000,0.000000,0.000001,-0.000001,0.000036,-0.000036,0.000000,0.000840,0.034499,0.714286,52247.000000,
130.000000,0.000001,0.037500,0.000000,0.000168,0.600000,0.000006,0.004030,5.000000,0.000147,0.000000,-0.000000,0.000000,0.000001,-0.000001,0.000041,-0.000036,0.000000,0.000990,0.037499,0.454545,52258.000000,
135.000000,0.000002,0.040625,0.000000,0.000188,0.625000,0.000006,0.004029,5.000000,0.000147,0.000000,-0.000000,0.000000,0.000002,-0.000002,0.000046,-0.000036,0.000000,0.000990,0.040623,0.625000,52266.000000,
