timestamp,setPoint,xAngVel,simSpeed,thrustPitch,xAngle,systemTime
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18845.000000,
1.000000,-0.349066,0.000000,0.020833,-0.008448,0.000000,18861.000000,
2.000000,-0.349066,0.000000,0.333333,-0.008448,0.000000,18864.000000,
3.000000,-0.349066,-0.000030,0.333333,-0.008448,-0.000000,18867.000000,
4.000000,-0.349066,-0.000060,0.333333,-0.008448,-0.000000,18871.000000,
5.000000,-0.349066,-0.000089,0.500000,-0.008448,-0.000000,18873.000000,
6.000000,-0.349066,-0.000119,0.500000,-0.008448,-0.000000,18876.000000,
7.000000,-0.349066,-0.000149,0.250000,-0.008448,-0.000000,18880.000000,
8.000000,-0.349066,-0.000179,0.250000,-0.008448,-0.000001,18884.000000,
9.000000,-0.349066,-0.000209,0.333333,-0.008448,-0.000001,18888.000000,
10.000000,-0.349066,-0.000239,0.500000,-0.008448,-0.000001,18890.000000,
11.000000,-0.349066,-0.000268,0.333333,-0.010211,-0.000001,18893.000000,
12.000000,-0.349066,-0.000298,0.500000,-0.010211,-0.000002,18896.000000,
13.000000,-0.349066,-0.000334,0.333333,-0.010211,-0.000002,18899.000000,
14.000000,-0.349066,-0.000370,0.500000,-0.010211,-0.000002,18902.000000,
15.000000,-0.349066,-0.000406,0.500000,-0.010211,-0.000003,18905.000000,
16.000000,-0.349066,-0.000442,0.500000,-0.010211,-0.000003,18907.000000,
17.000000,-0.349066,-0.000478,0.500000,-0.010211,-0.000004,18910.000000,
18.000000,-0.349066,-0.000514,0.500000,-0.010211,-0.000004,18913.000000,
19.000000,-0.349066,-0.000550,0.333333,-0.010211,-0.000005,18916.000000,
20.000000,-0.349066,-0.000587,0.333333,-0.010211,-0.000005,18920.000000,
21.000000,-0.349066,-0.000623,0.333333,-0.011961,-0.000006,18923.000000,
22.000000,-0.349066,-0.000659,0.250000,-0.011961,-0.000007,18927.000000,
23.000000,-0.349066,-0.000701,0.333333,-0.011961,-0.000007,18930.000000,
24.000000,-0.349066,-0.000743,0.250000,-0.011961,-0.000008,18935.000000,
25.000000,-0.349066,-0.000785,0.250000,-0.011961,-0.000009,18939.000000,
26.000000,-0.349066,-0.000827,0.250000,-0.011961,-0.000010,18944.000000,
27.000000,-0.349066,-0.000870,0.500000,-0.011961,-0.000011,18946.000000,
28.000000,-0.349066,-0.000912,0.500000,-0.011961,-0.000011,18949.000000,
29.000000,-0.349066,-0.000954,0.500000,-0.011961,-0.000012,18952.000000,
30.000000,-0.349066,-0.000996,0.500000,-0.011961,-0.000013,18955.000000,
31.000000,-0.349066,-0.001039,0.333333,-0.013714,-0.000014,18958.000000,
32.000000,-0.349066,-0.001081,0.500000,-0.013714,-0.000016,18961.000000,
33.000000,-0.349066,-0.001129,0.500000,-0.013714,-0.000017,18964.000000,
34.000000,-0.349066,-0.001178,0.500000,-0.013714,-0.000018,18966.000000,
35.000000,-0.349066,-0.001226,0.333333,-0.013714,-0.000019,18970.000000,
36.000000,-0.349066,-0.001274,0.333333,-0.013714,-0.000020,18973.000000,
37.000000,-0.349066,-0.001323,0.500000,-0.013714,-0.000022,18976.000000,
38.000000,-0.349066,-0.001371,0.333333,-0.013714,-0.000023,18979.000000,
39.000000,-0.349066,-0.001420,0.500000,-0.013714,-0.000024,18981.000000,
40.000000,-0.349066,-0.001468,0.333333,-0.013714,-0.000026,18984.000000,
41.000000,-0.349066,-0.001516,0.500000,-0.015464,-0.000027,18987.000000,
42.000000,-0.349066,-0.001565,0.500000,-0.015464,-0.000029,18990.000000,
43.000000,-0.349066,-0.001619,0.500000,-0.015464,-0.000031,18992.000000,
44.000000,-0.349066,-0.001674,0.333333,-0.015464,-0.000032,18996.000000,
45.000000,-0.349066,-0.001729,0.500000,-0.015464,-0.000034,18998.000000,
46.000000,-0.349066,-0.001783,0.333333,-0.015464,-0.000036,19001.000000,
47.000000,-0.349066,-0.001838,0.500000,-0.015464,-0.000038,19004.000000,
48.000000,-0.349066,-0.001892,0.500000,-0.015464,-0.000040,19006.000000,
49.000000,-0.349066,-0.001947,0.500000,-0.015464,-0.000041,19009.000000,
50.000000,-0.349066,-0.002002,0.333333,-0.015464,-0.000043,19012.000000,
51.000000,-0.349066,-0.002056,0.500000,-0.017210,-0.000046,19015.000000,
52.000000,-0.349066,-0.002111,0.333333,-0.017210,-0.000048,19018.000000,
53.000000,-0.349066,-0.002171,0.500000,-0.017210,-0.000050,19021.000000,
54.000000,-0.349066,-0.002232,0.500000,-0.017210,-0.000052,19024.000000,
55.000000,-0.349066,-0.002293,0.333333,-0.017210,-0.000054,19027.000000,
56.000000,-0.349066,-0.002354,0.500000,-0.017210,-0.000057,19030.000000,
57.000000,-0.349066,-0.002414,0.500000,-0.017210,-0.000059,19032.000000,
58.000000,-0.349066,-0.002475,0.333333,-0.017210,-0.000062,19035.000000,
59.000000,-0.349066,-0.002536,0.500000,-0.017210,-0.000064,19038.000000,
60.000000,-0.349066,-0.002597,0.500000,-0.017210,-0.000067,19041.000000,
61.000000,-0.349066,-0.002657,0.333333,-0.018951,-0.000069,19044.000000,
62.000000,-0.349066,-0.002718,0.500000,-0.018951,-0.000072,19046.000000,
63.000000,-0.349066,-0.002785,0.500000,-0.018951,-0.000075,19049.000000,
64.000000,-0.349066,-0.002852,0.500000,-0.018951,-0.000078,19052.000000,
65.000000,-0.349066,-0.002919,0.500000,-0.018951,-0.000081,19054.000000,
66.000000,-0.349066,-0.002986,0.500000,-0.018951,-0.000084,19057.000000,
67.000000,-0.349066,-0.003053,0.333333,-0.018951,-0.000087,19060.000000,
68.000000,-0.349066,-0.003120,0.500000,-0.018951,-0.000090,19062.000000,
69.000000,-0.349066,-0.003187,0.500000,-0.018951,-0.000093,19065.000000,
70.000000,-0.349066,-0.003253,0.333333,-0.018951,-0.000096,19068.000000,
71.000000,-0.349066,-0.003320,0.500000,-0.020688,-0.000100,19071.000000,
72.000000,-0.349066,-0.003387,0.500000,-0.020688,-0.000103,19074.000000,
73.000000,-0.349066,-0.003460,0.333333,-0.020688,-0.000106,19077.000000,
74.000000,-0.349066,-0.003533,0.333333,-0.020688,-0.000110,19080.000000,
75.000000,-0.349066,-0.003606,0.333333,-0.020688,-0.000114,19083.000000,
76.000000,-0.349066,-0.003679,0.333333,-0.020688,-0.000117,19087.000000,
77.000000,-0.349066,-0.003752,0.500000,-0.020688,-0.000121,19090.000000,
78.000000,-0.349066,-0.003825,0.333333,-0.020688,-0.000125,19093.000000,
79.000000,-0.349066,-0.003898,0.333333,-0.020688,-0.000129,19097.000000,
80.000000,-0.349066,-0.003971,0.333333,-0.020688,-0.000133,19100.000000,
81.000000,-0.349066,-0.004044,0.500000,-0.022419,-0.000137,19102.000000,
82.000000,-0.349066,-0.004118,0.500000,-0.022419,-0.000141,19105.000000,
83.000000,-0.349066,-0.004197,0.500000,-0.022419,-0.000145,19108.000000,
84.000000,-0.349066,-0.004276,0.333333,-0.022419,-0.000149,19111.000000,
85.000000,-0.349066,-0.004355,0.333333,-0.022419,-0.000154,19114.000000,
86.000000,-0.349066,-0.004434,0.333333,-0.022419,-0.000158,19117.000000,
87.000000,-0.349066,-0.004513,0.500000,-0.022419,-0.000163,19120.000000,
88.000000,-0.349066,-0.004592,0.500000,-0.022419,-0.000167,19123.000000,
89.000000,-0.349066,-0.004672,0.250000,-0.022419,-0.000172,19127.000000,
90.000000,-0.349066,-0.004751,0.333333,-0.022419,-0.000177,19130.000000,
91.000000,-0.349066,-0.004830,0.500000,-0.024145,-0.000181,19133.000000,
92.000000,-0.349066,-0.004909,0.500000,-0.024145,-0.000186,19136.000000,
93.000000,-0.349066,-0.004994,0.333333,-0.024145,-0.000191,19139.000000,
94.000000,-0.349066,-0.005079,0.500000,-0.024145,-0.000196,19141.000000,
95.000000,-0.349066,-0.005165,0.333333,-0.024145,-0.000202,19145.000000,
96.000000,-0.349066,-0.005250,0.500000,-0.024145,-0.000207,19148.000000,
97.000000,-0.349066,-0.005335,0.500000,-0.024145,-0.000212,19151.000000,
98.000000,-0.349066,-0.005420,0.500000,-0.024145,-0.000218,19154.000000,
99.000000,-0.349066,-0.005506,0.500000,-0.024145,-0.000223,19156.000000,
100.000000,-0.349066,-0.005591,0.333333,-0.024145,-0.000229,19159.000000,
101.000000,-0.349066,-0.005676,0.250000,-0.025865,-0.000234,19164.000000,
102.000000,-0.349066,-0.005761,0.333333,-0.025865,-0.000240,19167.000000,
103.000000,-0.349066,-0.005853,0.500000,-0.025865,-0.000246,19170.000000,
104.000000,-0.349066,-0.005944,0.500000,-0.025865,-0.000252,19173.000000,
