timestamp,rocket_x,rocket_y,rocket_ay,rocket_z,rocket_vx,rocket_vy,rocket_vz,rocket_ax,rocket_az,rocket_theta,rocket_phi,rocket_wy,rocket_psi,rocket_wx,rocket_wz,rocket_alphx,rocket_alphy,rocket_alphz,course_deviation,simSpeed,systemTime
115.000000,0.000000,0.028875,4.999995,0.000001,-0.000003,0.525000,-0.001071,-0.000087,-0.020279,0.000000,0.000010,-0.000000,-0.000000,0.000272,-0.000001,0.005163,-0.000000,-0.000022,0.000001,1.000000,26852.000000,
120.000000,0.000000,0.031625,4.999993,0.000001,-0.000004,0.550000,-0.001185,-0.000107,-0.022846,0.000000,0.000012,-0.000000,-0.000000,0.000302,-0.000001,0.005816,-0.000000,-0.000027,0.000001,1.666667,26855.000000,
125.000000,0.000000,0.034500,4.999994,0.000001,-0.000004,0.575000,-0.001300,-0.000107,-0.022840,0.000000,0.000013,-0.000000,-0.000000,0.000331,-0.000001,0.005817,-0.000000,-0.000027,0.000001,1.250000,26860.000000,
130.000000,0.000000,0.037500,4.999992,0.000001,-0.000005,0.600000,-0.001427,-0.000129,-0.025526,0.000000,0.000015,-0.000000,-0.000000,0.000363,-0.000001,0.006501,-0.000000,-0.000033,0.000001,0.454545,26871.000000,
135.000000,0.000000,0.040625,4.999992,0.000001,-0.000006,0.625000,-0.001555,-0.000129,-0.025518,0.000000,0.000017,-0.000000,-0.000000,0.000396,-0.000001,0.006501,-0.000000,-0.000033,0.000001,1.250000,26875.000000,
140.000000,0.000000,0.043875,4.999992,0.000001,-0.000006,0.650000,-0.001682,-0.000129,-0.025510,0.000000,0.000019,-0.000000,-0.000000,0.000428,-0.000002,0.006502,-0.000000,-0.000033,0.000001,1.000000,26881.000000,
145.000000,0.000000,0.047250,4.999989,0.000001,-0.000007,0.675000,-0.001831,-0.000170,-0.029810,0.000000,0.000022,-0.000000,-0.000000,0.000466,-0.000002,0.007597,-0.000000,-0.000043,0.000001,1.000000,26886.000000,
150.000000,0.000000,0.050750,4.999989,0.000002,-0.000008,0.700000,-0.001980,-0.000170,-0.029800,0.000000,0.000024,-0.000000,-0.000000,0.000504,-0.000002,0.007597,-0.000000,-0.000043,0.000002,0.625000,26894.000000,
155.000000,0.000000,0.054375,4.999987,0.000002,-0.000009,0.724999,-0.002144,-0.000200,-0.032775,0.000000,0.000027,-0.000000,-0.000000,0.000546,-0.000002,0.008356,-0.000000,-0.000051,0.000002,0.714286,26901.000000,
160.000000,0.000000,0.058125,4.999987,0.000002,-0.000010,0.749999,-0.002308,-0.000200,-0.032763,0.000000,0.000030,-0.000000,-0.000000,0.000588,-0.000003,0.008356,-0.000000,-0.000051,0.000002,0.833333,26908.000000,
165.000000,0.000000,0.062000,4.999985,0.000002,-0.000011,0.774999,-0.002487,-0.000233,-0.035845,0.000000,0.000033,-0.000000,-0.000000,0.000633,-0.000003,0.009143,-0.000000,-0.000059,0.000002,0.833333,26914.000000,
170.000000,0.000000,0.066000,4.999985,0.000003,-0.000012,0.799999,-0.002667,-0.000233,-0.035831,0.000000,0.000036,-0.000000,-0.000000,0.000679,-0.000003,0.009143,-0.000000,-0.000059,0.000003,1.250000,26919.000000,
175.000000,0.000000,0.070125,4.999982,0.000003,-0.000014,0.824999,-0.002862,-0.000270,-0.039020,0.000000,0.000040,-0.000000,-0.000000,0.000729,-0.000003,0.009957,-0.000000,-0.000069,0.000003,1.250000,26923.000000,
180.000000,0.000000,0.074375,4.999983,0.000003,-0.000015,0.849999,-0.003057,-0.000270,-0.039004,0.000000,0.000044,-0.000000,-0.000000,0.000779,-0.000004,0.009958,-0.000000,-0.000069,0.000003,1.000000,26929.000000,
185.000000,0.000000,0.078750,4.999979,0.000003,-0.000017,0.874999,-0.003268,-0.000311,-0.042295,0.000000,0.000048,-0.000000,-0.000000,0.000833,-0.000004,0.010799,-0.000000,-0.000079,0.000003,0.714286,26936.000000,
190.000000,0.000000,0.083250,4.999980,0.000004,-0.000018,0.899999,-0.003480,-0.000311,-0.042276,0.000000,0.000053,-0.000000,-0.000000,0.000887,-0.000005,0.010799,-0.000000,-0.000079,0.000004,1.000000,26942.000000,
195.000000,0.000000,0.087875,4.999976,0.000004,-0.000020,0.924999,-0.003708,-0.000356,-0.045666,0.000000,0.000057,-0.000000,-0.000000,0.000945,-0.000005,0.011666,-0.000000,-0.000091,0.000004,0.625000,26950.000000,
200.000000,0.000000,0.092625,4.999977,0.000005,-0.000022,0.949999,-0.003936,-0.000356,-0.045644,0.000000,0.000062,-0.000000,-0.000000,0.001003,-0.000006,0.011666,-0.000000,-0.000091,0.000005,0.294118,26968.000000,
