Name,WorldRunTime,SimRunTime,ResultType,MaxDistanceFromCourse,DistanceAlongCourse,Score
data1,2.480965,1.825000,2,0.453950,0.030221,394.235084
data2,2.306459,1.895000,2,0.136334,0.033196,389.908648
