timestamp,rocket_x,rocket_y,rocket_z,rocket_vx,rocket_vy,rocket_vz,rocket_ax,rocket_ay,rocket_az,rocket_theta,rocket_phi,rocket_wy,rocket_psi,rocket_wx,rocket_wz,rocket_alphx,rocket_alphy,rocket_alphz,course_deviation,simSpeed,systemTime
130.000000,0.000000,0.037500,0.000000,-0.000000,0.600000,-0.000089,-0.000001,5.000000,-0.001248,0.000000,0.000001,-0.000000,-0.000000,0.000023,-0.000000,0.000318,-0.000000,-0.000000,0.000000,1.000000,107230.000000,
135.000000,0.000000,0.040625,0.000000,-0.000000,0.625000,-0.000095,-0.000001,5.000000,-0.001247,0.000000,0.000001,-0.000000,-0.000000,0.000024,-0.000000,0.000318,-0.000000,-0.000000,0.000000,1.250000,107234.000000,
140.000000,0.000000,0.043875,0.000000,-0.000000,0.650000,-0.000101,-0.000001,5.000000,-0.001247,0.000000,0.000001,-0.000000,-0.000000,0.000026,-0.000000,0.000318,-0.000000,-0.000000,0.000000,1.000000,107240.000000,
145.000000,0.000000,0.047250,0.000000,-0.000000,0.675000,-0.000108,-0.000001,5.000000,-0.001392,0.000000,0.000002,-0.000000,-0.000000,0.000028,-0.000000,0.000355,-0.000000,-0.000000,0.000000,1.250000,107245.000000,
150.000000,0.000000,0.050750,0.000000,-0.000000,0.700000,-0.000115,-0.000001,5.000000,-0.001392,0.000000,0.000002,-0.000000,-0.000000,0.000029,-0.000000,0.000355,-0.000000,-0.000000,0.000000,1.250000,107249.000000,
155.000000,0.000000,0.054375,0.000000,-0.000000,0.725000,-0.000123,-0.000001,5.000000,-0.001491,0.000000,0.000002,-0.000000,-0.000000,0.000031,-0.000000,0.000381,-0.000000,-0.000000,0.000000,1.250000,107254.000000,
160.000000,0.000000,0.058125,0.000000,-0.000000,0.750000,-0.000130,-0.000001,5.000000,-0.001490,0.000000,0.000002,-0.000000,-0.000000,0.000033,-0.000000,0.000381,-0.000000,-0.000000,0.000000,1.000000,107260.000000,
165.000000,0.000000,0.062000,0.000000,-0.000000,0.775000,-0.000138,-0.000001,5.000000,-0.001592,0.000000,0.000002,-0.000000,-0.000000,0.000035,-0.000000,0.000407,-0.000000,-0.000000,0.000000,1.250000,107264.000000,
170.000000,0.000000,0.066000,0.000000,-0.000000,0.800000,-0.000146,-0.000001,5.000000,-0.001592,0.000000,0.000002,-0.000000,-0.000000,0.000037,-0.000000,0.000407,-0.000000,-0.000000,0.000000,1.250000,107268.000000,
175.000000,0.000000,0.070125,0.000000,-0.000000,0.825000,-0.000155,-0.000001,5.000000,-0.001696,0.000000,0.000003,-0.000000,-0.000000,0.000039,-0.000000,0.000434,-0.000000,-0.000000,0.000000,1.000000,107274.000000,
