timestamp,rocket_x,rocket_y,rocket_z,rocket_vx,rocket_vy,rocket_vz,rocket_ax,rocket_ay,rocket_az,rocket_theta,rocket_phi,rocket_wy,rocket_psi,rocket_wx,rocket_wz,rocket_alphx,rocket_alphy,rocket_alphz,course_deviation,simSpeed,systemTime
5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43166.000000,
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005459,43233.000000,
15.000000,0.000000,0.000125,0.000000,0.000000,0.025000,0.000000,0.000013,5.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000125,1.000000,43239.000000,
20.000000,0.000000,0.000375,0.000000,0.000000,0.050000,0.000000,0.000013,5.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000375,1.000000,43244.000000,
25.000000,0.000000,0.000750,0.000000,0.000000,0.075000,0.000000,0.000013,5.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000003,0.000750,1.000000,43250.000000,
30.000000,0.000000,0.001250,0.000000,0.000001,0.100000,0.000000,0.000161,5.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000038,0.001250,1.000000,43255.000000,
35.000000,0.000000,0.001875,0.000000,0.000002,0.125000,0.000000,0.000161,5.000000,0.000001,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000038,0.001875,1.250000,43260.000000,
40.000000,0.000000,0.002625,0.000000,0.000003,0.150000,0.000000,0.000307,5.000000,0.000001,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000001,-0.000000,0.000000,0.000073,0.002625,1.000000,43265.000000,
45.000000,0.000000,0.003500,0.000000,0.000005,0.175000,0.000000,0.000307,5.000000,0.000007,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000001,-0.000002,0.000000,0.000073,0.003500,1.250000,43270.000000,
50.000000,0.000000,0.004500,0.000000,0.000006,0.200000,0.000000,0.000307,5.000000,0.000007,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000002,-0.000002,0.000000,0.000073,0.004500,1.250000,43275.000000,
